"Region","year","births_count","doctors_per_capita","hosp_count","IMR_all","LOS","pc_beds","pc_cancer","pc_diabetes","pop","pop_m","pop_f","pc_digestive","pc_genitourinary","pc_injury","pc_asthma","pc_TB","urban_percent","pc_hosp"
"Kazaly",2005,1536,1.73,10,20.7,12.5,7.32,1.321,0.308,71.5,36.2,35.6,246.035,96.347,47.076,0.322,1.957,58.3,139.86013986014
"Kazaly",2006,1610,1.72,10,23,13,5.84,1.101,0.312,71.7,36.5,35.8,220.034,98.123,49.792,0.78,0.187,58.1,139.470013947001
"Kazaly",2007,1638,1.86,10,19.5,12.5,5.68,1.232,1.178,73,36.9,36.4,325.79,131.436,72.766,0.452,1.425,0,136.986301369863
"Kazaly",2008,1963,1.84,10,23.8,12.2,5.06,1.243,0.624,74.2,37.3,36.7,259.552,102.761,48.662,0.38,1.268,18.1,134.770889487871
"Kazaly",2009,1824,1.76,9,15.3,12.1,5.39,0.588,0.668,75,37.7,37.3,173.827,64.023,19.912,0.921,1.143,3.8,120
"Kazaly",2010,1885,2.33,7,16.4,12.1,6.87,1.157,0.436,73.5,37,36.7,161.977,66.136,31.529,0.054,1.066,9.5,95.2380952380952
"Kazaly",2011,1848,1.94,3,16.2,11.1,5.92,0.955,0.619,74.4,37.3,37,137.106,52.421,30.812,0.296,0.965,9.1,40.3225806451613
"Kazaly",2012,1909,2.45,3,12.6,10.9,5.87,1.482,0.427,74.9,37.7,37.2,141.166,49.725,28.033,0.32,0.897,3.8,40.0534045393858
"Kazaly",2013,1938,2,5,5.7,8.3,5.71,0.823,1.287,75.3,38,37.3,125.033,41.518,28.541,0.265,0.746,9.5,66.4010624169987
"Kazaly",2014,1940,1.71,5,7.7,9.7,5.16,1.257,0.501,75.8,29.8,28.9,37.396,48.436,17.267,0.29,0.69,0,65.9630606860158
"Kazaly",2015,1878,2.42,5,8.8,8.9,4.06,1.394,0.933,76,38.4,37.6,33.062,44.687,21.291,0.973,0.657,9,65.7894736842105
"Kazaly",2016,1729,3.5,6,5.8,8.2,3.61,1.586,1.621,76.2,40.4,35.8,40.367,36.768,26.34,0.302,0.618,0,78.740157480315
"Kazaly",2017,1702,2.91,6,7.1,8.3,4.06,1.194,6.441,76.2,38.7,37.5,41.84,40.516,32.802,0.156,0.605,0,78.740157480315
"Kazaly",2018,1705,2.94,5,6.3,7.7,3.59,1.273,1.075,77.2,39.3,37.9,49.984,39.943,33.271,0.233,0.539,0,64.7668393782383
"Kyzylorda city",2000,3574,5.28,15,26.5,19.2,13.92,1.747,0.719,200.4,95.4,101.5,27.206,48.553,35.309,0.23,3.792,91.4,74.8502994011976
"Kyzylorda city",2001,3612,5.41,13,23.6,18.7,14,1.693,0.846,199.7,96,101.9,28.157,48.282,31.622,0.225,3.681,91.3,65.0976464697046
"Kyzylorda city",2002,3675,5.78,14,25.1,17.9,15.35,1.855,0.958,195.2,93,99.8,25.973,49.682,30.538,0.251,3.755,91.3,71.7213114754098
"Kyzylorda city",2003,4010,5.71,14,23.6,17.6,15.55,1.865,0.755,197.3,93.8,100.6,22.818,51.399,29.427,0.223,3.3,91.3,70.9579320831221
"Kyzylorda city",2004,4646,5.89,14,23.3,17.1,15.55,1.924,0.762,199.6,94.9,102.3,21.553,46.964,29.444,0.195,3.091,91.4,70.1402805611223
"Kyzylorda city",2005,5742,6.06,14,20.4,17.1,15.49,1.963,0.874,199.2,96.7,104.2,79.704,48.509,30.181,0.181,2.909,92.2,70.281124497992
"Kyzylorda city",2006,5455,5.02,14,20.5,17.5,15.01,1.695,0.657,204.8,91.2,103.3,74.609,51.493,28.482,0.379,2.539,91.4,68.359375
"Kyzylorda city",2007,6805,5.04,15,14.6,16.8,14.54,17.66,0.692,209.6,98.4,106.2,68.369,54.056,29.361,0.295,2.207,91,71.5648854961832
"Kyzylorda city",2008,6562,6.15,14,18,16.1,14.93,1.806,1.509,207.3,97.1,106.1,102.348,64.638,41.356,0.595,1.914,91.8,67.5349734684033
"Kyzylorda city",2009,7079,5.52,14,27.9,15.4,14.34,2.684,1.346,250.4,134.7,130,105.31,65.425,50.055,0.393,1.448,91.6,55.9105431309904
"Kyzylorda city",2010,8052,7.52,14,16.8,15.6,13.24,1.735,1.18,273.6,132,162.8,96.295,55.7,36.691,0.325,1.462,91.5,51.1695906432749
"Kyzylorda city",2011,8760,4.77,13,15.9,14.8,12.98,2.633,1.571,278.7,135.7,143.4,84.005,51.933,33.711,0.41,1.243,91.5,46.6451381413707
"Kyzylorda city",2012,8921,4.52,16,27.6,14.2,12.65,1.925,1.35,285.7,138.9,146.8,66.338,50.081,34.536,0.528,1.201,92.7,56.002800140007
"Kyzylorda city",2013,8590,4.91,22,21.4,14.1,12.13,3.083,1.304,293.2,143.2,150.2,64.754,47.953,43.97,0.449,1.147,91.6,75.0341064120055
"Kyzylorda city",2014,8941,6.86,22,10.9,13.9,12.08,1.671,0.927,302.6,172.6,181.4,67.897,38.709,25.077,0.334,1.082,91.9,72.7032385988103
"Kyzylorda city",2015,8137,4.5,18,11,13.5,11.26,1.338,1.66,329.3,171.6,178.6,56.033,41.476,31.645,0.38,0.752,91.8,54.6614029760097
"Kyzylorda city",2016,8220,4.26,14,11.6,13.4,10.57,2.022,1.989,320.3,155.3,165,47.866,42.541,25.674,0.619,0.857,91.5,43.7090227911333
"Kyzylorda city",2017,8189,5.03,12,7.3,12.6,9.03,1.627,0.444,329.1,160.2,168.2,58.242,44.746,28.071,0.557,0.788,93.5,36.4630811303555
"Kyzylorda city",2018,8942,4.99,15,9.5,12.6,8.25,1.587,3.15,336.7,167.6,174.7,67.219,62.295,29.188,1.013,0.58,81.3,44.5500445500446
"Shieli",2000,1689,1.77,5,24.8,12.7,4.62,1.045,0.068,73.7,37.7,37,50.353,44.654,32.605,0.285,2.171,38.5,67.842605156038
"Shieli",2001,1543,1.75,5,18.1,12.6,4.61,1.196,0.228,74.4,37.8,37.1,48.831,57.997,32.702,0.242,2.003,38.2,67.2043010752688
"Shieli",2002,1641,1.74,5,21.2,12.6,4.59,1.029,0.241,74.8,37.9,37.3,69.947,65.615,27.34,0.321,2.099,37.8,66.8449197860963
"Shieli",2003,1498,1.76,5,19.4,11.9,4.59,1.453,0.267,75,37.9,37.3,57.667,60.573,24.413,0.4,2,37.6,66.6666666666667
"Shieli",2004,1713,1.7,6,16,11.5,5.1,1.396,0.199,75.2,38,37.2,57.806,62.886,15.918,0.293,1.715,37.4,79.7872340425532
"Shieli",2005,1563,1.49,6,18,11.1,5.4,1.271,0.426,75.1,38,37.1,61.114,41.98,18.735,0.146,2.053,39.1,79.8934753661784
"Shieli",2006,1889,1.59,6,19.3,12,5.38,1.053,0.465,75.1,41,37.2,54.635,57.962,14.969,0.3,1.45,37,79.8934753661784
"Shieli",2007,1720,1.29,6,15.9,12,5.36,1.151,0.635,75,38.3,37.2,47.634,54.426,8.565,0.225,1.271,0,80
"Shieli",2008,2102,1.53,6,25.1,11.4,4.97,1.113,0.487,76.4,39.5,38.4,48.42,35.49,10.089,0.118,1.112,0,78.5340314136126
"Shieli",2009,2142,1.66,6,17,11.4,4.88,0.806,0.78,76.8,39.1,37.6,50.039,38.606,6.763,0.156,0.887,0,78.125
"Shieli",2010,2211,1.67,5,28.9,10.1,5.01,1.422,0.316,75.9,38.5,14.9,57.112,42.277,12.977,1.647,0.872,0,65.8761528326746
"Shieli",2011,2110,1.67,3,22.3,10.7,4.28,1.312,0.325,77,39,37.9,53.547,43.479,16.173,0.411,0.827,0,38.961038961039
"Shieli",2012,1986,1.68,3,8.1,9.5,4.2,3.109,0.433,78.4,39.7,38.7,66.171,40.393,11.621,0.956,0.746,0,38.265306122449
"Shieli",2013,1609,1.68,3,1.2,8.5,4.03,2.74,1.27,79.5,40.3,39.2,58.16,44.799,13.437,0.968,0.596,0,37.7358490566038
"Shieli",2014,1913,1.48,3,13.3,9.1,3.96,1.126,0.397,80.4,38.4,37,90.42,43.835,15.266,0.249,0.566,0,37.3134328358209
"Shieli",2015,2082,1.58,3,6.7,8.6,3.88,1.247,0.864,80.9,41.2,40,76.518,44.167,12.915,0.345,0.543,0,37.0828182941904
"Shieli",2016,1870,1.88,3,7,8.1,3.49,1.407,1.526,81.7,38.8,42.9,65.45,47.358,17.562,1.091,0.532,0,36.7197062423501
"Shieli",2017,1799,2.05,3,10.6,9,3.27,1.411,2.587,81.6,41.5,40.1,98.562,54.16,26.074,0.366,0.505,0,36.7647058823529
"Shieli",2018,1816,2.03,3,5.9,9,3.25,1.263,1.845,82.3,41.9,40.5,86.397,69.782,25.971,0.886,0.508,0,36.4520048602673
"Syrdariya",2000,732,2.25,4,20.4,14.1,5.88,1.202,0.307,39.1,19.9,19.2,13.325,41.816,7.212,0.409,2.864,23.7,102.30179028133
"Syrdariya",2001,694,2.23,4,26.4,12.9,5.88,0.944,0.332,39.2,19.9,19.2,24.133,59.796,8.98,0.434,3.138,23.5,102.040816326531
"Syrdariya",2002,680,2.18,4,24.6,13.4,5.9,1.688,0.614,39.1,19.9,19.1,38.414,75.575,11.56,0.358,2.813,23,102.30179028133
"Syrdariya",2003,749,2.07,5,20,12.9,6.25,1.487,0.487,39,20,19.2,33.667,62.769,13.564,0.179,2.59,22.8,128.205128205128
"Syrdariya",2004,764,2.18,5,32.5,11.4,6.47,1.637,0.35,39.1,20.1,19.4,40.614,40.665,18.9,0.512,2.506,22.7,127.877237851662
"Syrdariya",2005,462,2.18,5,22.7,11.8,6.84,1.166,0.278,39.5,20.2,19.4,39.113,39.012,14.936,0.203,2.32,22,126.582278481013
"Syrdariya",2006,875,2.07,5,34.5,11.6,6.82,1.063,0.43,39.5,22.3,19.5,36.62,52.452,7.182,0.91,1.749,21.9,126.582278481013
"Syrdariya",2007,867,2.16,5,25.4,11.9,6.8,1.435,0.681,39,20.4,19.4,27.053,30.378,13.652,0.352,1.033,0,128.205128205128
"Syrdariya",2008,971,2.08,5,23,11.5,5.9,0.979,0.88,39.8,21.7,20.1,28.108,47.216,15.135,0.05,1.132,0,125.628140703518
"Syrdariya",2009,910,1.93,5,18.7,10.9,3.11,2.996,1.36,75.4,24.8,37,30.141,48.649,16.519,0.176,0.953,0,66.3129973474801
"Syrdariya",2010,863,1.83,5,33.6,10.3,6.1,1.404,1.222,38.5,20,18.7,28.609,46.763,17.036,0.312,0.956,0,129.87012987013
"Syrdariya",2011,890,1.92,4,18,10.9,5.13,1.309,0.847,38.9,20.1,18.8,24.74,41.242,18.581,1.364,1.064,0,102.827763496144
"Syrdariya",2012,897,1.97,3,7.8,9.2,5.3,2.401,0.683,39.5,20.4,19.1,35.566,30.713,20.399,0.48,0.713,0,75.9493670886076
"Syrdariya",2013,775,1.93,4,6.5,7.9,5.25,1.126,0.551,39.9,20.5,19.3,47.045,26.325,22.647,0.475,0.603,0,100.250626566416
"Syrdariya",2014,812,1.87,4,18.5,9.8,5.25,1.075,0.224,40,18.7,17.3,49.807,22.818,17.176,0.6,0.576,0,100
"Syrdariya",2015,894,1.98,4,11.3,10.2,5.26,1.227,0.851,39.9,20.6,19.2,47.951,26.116,18.755,0.475,0.676,0,100.250626566416
"Syrdariya",2016,794,2.33,4,10.1,10.7,4.78,1.61,0.662,39.7,18.9,20.8,31.576,24.517,23.879,0.553,0.325,0,100.755667506297
"Syrdariya",2017,848,2.36,4,11.8,9.6,5.3,1.281,1.548,39,20.3,18.7,44.444,30.943,28.199,0.435,0.325,0,102.564102564103
"Syrdariya",2018,796,2.16,3,6.1,10,3.71,1.428,1.802,38.8,20.2,18.7,38.31,29.968,25.772,0.335,0.357,0,77.319587628866
"Zhalagash",2000,834,1.8,4,17.6,14,6.13,1.035,0.076,39.6,20.2,19.8,91.616,31.01,23.384,0.126,3.1,36.4,101.010101010101
"Zhalagash",2001,732,1.94,4,26.2,14.4,6.47,1.153,0.401,39.9,20.3,19.9,95.313,31.554,26.316,0.075,2.632,36.2,100.250626566416
"Zhalagash",2002,669,2.08,5,21.2,13.8,6.45,1.147,0.673,40.1,20.3,20,161.64,39.825,33.242,0.05,2.045,36,124.688279301746
"Zhalagash",2003,658,1.96,6,23.6,14.9,6.81,1.517,0.398,40.2,20.3,20.1,89.279,51.517,26.269,0.149,2.09,35.9,149.253731343284
"Zhalagash",2004,741,1.94,7,24,13.6,7.35,1.414,0.496,40.3,20.6,20.3,77.792,46.526,29.653,0.199,2.06,35.6,173.697270471464
"Zhalagash",2005,603,2,8,18.2,12.6,7.67,1.322,0.146,41,20.6,20.4,75.992,53.004,28.381,0.073,1.826,35.6,195.121951219512
"Zhalagash",2006,850,1.97,8,22.6,12.6,7.73,1.388,0.272,41,21,21.2,75.554,60.093,31.945,0.271,1.883,35.4,195.121951219512
"Zhalagash",2007,878,1.94,8,19.3,12.2,7.56,1.537,0.288,41,20.9,20.7,104.039,53.316,22.73,0.792,1.73,0,195.121951219512
"Zhalagash",2008,859,1.98,8,22.2,11,6.09,1.099,0.622,41.8,21.6,21.5,104.307,46.494,21.488,0.144,1.945,0,191.387559808612
"Zhalagash",2009,871,1.66,8,9,10.9,5.93,1.545,0.523,42.1,21.1,20.9,72.87,38.372,18.497,0.071,0.929,0,190.023752969121
"Zhalagash",2010,857,2.28,7,21,11.3,6.94,1.466,0.913,36,18.4,17.8,68.556,37.392,31.164,0.111,0.974,0,194.444444444444
"Zhalagash",2011,854,2.17,4,19.9,11.4,5.91,1.731,0.989,36.3,18.4,17.8,85.838,37.836,34.649,0.055,1.354,0,110.192837465565
"Zhalagash",2012,866,2.31,5,6.9,9.7,5.2,2.11,1.124,36.4,18.5,17.9,98.145,44.372,32.395,0.192,0.96,0,137.362637362637
"Zhalagash",2013,868,2.18,6,4.6,8.6,5.17,1.549,0.951,36.7,18.6,18.1,84.883,42.319,26.854,0.19,0.901,0,163.487738419619
"Zhalagash",2014,811,2.08,6,10.5,8.5,5.16,1.302,0.46,36.9,17.7,16.2,83.674,40.645,17.791,0.081,0.598,0,162.60162601626
"Zhalagash",2015,878,2.31,6,8.6,8.5,5.16,1.657,0.978,36.8,18.6,18,90.598,47.35,19.64,0.326,0.896,0,163.04347826087
"Zhalagash",2016,712,2.56,6,5.6,8.4,4.62,1.114,1.87,36.7,17.9,18.8,56.498,43.515,18.236,1.146,0.814,0,163.487738419619
"Zhalagash",2017,697,2.86,6,7.2,8.3,4.13,1.496,1.974,35.9,18.4,17.5,55.043,48.03,28.877,0.825,0.651,0,167.130919220056
"Zhalagash",2018,729,2.46,6,8.2,7.4,4.14,1.094,1.848,35.7,18.2,17.4,41.815,61.112,21.65,0.896,0.562,0,168.067226890756
"Zhanakorgan",2000,1537,1.38,7,21.4,13.8,5.47,0.9,0.546,67.8,35,33.6,49.617,51.696,23.097,0.973,1.873,33.2,103.244837758112
"Zhanakorgan",2001,1555,1.42,7,25.3,12.6,5.81,0.864,0.264,68.3,35,33.8,67.877,56.003,26.061,0.542,1.728,32.8,102.489019033675
"Zhanakorgan",2002,1572,1.43,7,21.4,12.6,5.78,1.339,0.291,68.7,35.2,34,92.853,67.671,21.106,0.277,2.082,32.3,101.892285298399
"Zhanakorgan",2003,1550,1.39,9,24.5,12.3,5.96,0.913,0.507,69,35.4,34.2,81.623,67.406,17.841,0.174,2.536,31.8,130.434782608696
"Zhanakorgan",2004,1746,1.33,9,18.4,11,5.93,1.095,0.245,69.4,35.8,34.3,100.865,61.585,23.026,0.144,1.902,31.6,129.682997118156
"Zhanakorgan",2005,1560,1.3,9,26.9,10.5,5.95,1.142,0.512,70.3,36.1,34.5,75.678,56.591,20.564,0.185,1.69,31,128.022759601707
"Zhanakorgan",2006,1787,1.37,10,27.9,10.8,6,1.033,0.434,70.6,36.7,34.8,81.466,58.479,16.288,0.072,1.226,30.8,141.643059490085
"Zhanakorgan",2007,1869,1.38,10,21.9,11,6.04,1.25,0.25,71,36.9,35.4,161.838,51.959,19.797,0.041,0.973,0,140.845070422535
"Zhanakorgan",2008,2205,1.42,10,24.3,10.5,5.02,1.1,0.191,73.9,37.9,35.8,123.506,81.609,21.29,0.328,1.036,0,135.31799729364
"Zhanakorgan",2009,2071,1.5,10,17.3,10.2,9.18,0.732,0.746,39.7,20.5,19.1,64.965,46.496,20.655,0.04,0.834,0,251.889168765743
"Zhanakorgan",2010,1973,1.65,9,26.9,9.5,4.97,1.131,0.777,73.5,37.4,36.5,67.595,48.126,32.175,0.041,0.623,0,122.448979591837
"Zhanakorgan",2011,2069,1.69,4,20.3,10.1,3.76,0.979,0.78,75.7,38.3,37.4,66.601,44.714,31.833,0.066,0.638,0,52.8401585204756
"Zhanakorgan",2012,1999,1.89,4,13,8.7,3.48,1.059,0.581,77.4,39.2,38.2,68.985,44.173,26.891,0.142,0.668,0,51.6795865633075
"Zhanakorgan",2013,2233,1.66,5,5.4,7.5,3.22,0.614,0.889,79.8,40.3,39.5,63.698,39.752,19.713,0.138,0.561,0,62.65664160401
"Zhanakorgan",2014,2233,1.72,5,8.1,8.1,3.07,0.884,0.271,80.9,37.1,34.9,93.028,52.422,24.289,0.124,0.502,0,61.8046971569839
"Zhanakorgan",2015,2052,1.74,5,10.2,7.4,2.97,0.975,1.951,81.9,41.7,40.8,73.241,42.957,21.283,0.158,0.561,0,61.050061050061
"Zhanakorgan",2016,1863,2.15,7,5.9,7.3,2.41,1.143,1.871,83.1,38.3,44.8,61.859,48.304,16.745,0.372,0.526,0,84.2358604091456
"Zhanakorgan",2017,1841,2.36,7,7.6,7.3,2.72,0.978,2.097,84,42.7,41.3,75.246,55.084,20.313,0.858,0.514,0,83.3333333333333
"Zhanakorgan",2018,1775,1.89,7,6,7.4,2.72,1.062,1.373,84.5,43.1,41.4,68.506,61.913,15.437,1.48,0.422,0,82.8402366863905
