"Region","year","births_count","doctors_per_capita","hosp_count","IMR_all","LOS","pc_beds","pc_cancer","pc_diabetes","pop","pop_m","pop_f","pc_digestive","pc_genitourinary","pc_injury","pc_asthma","pc_TB","urban_percent","pc_hosp"
"Aral",2000,1474,2.61,6,23,15.9,5.99,1.944,0.585,68.4,34.4,34.1,45.906,43.129,37.164,0.175,2.895,63.2,87.719298245614
"Aral",2001,1489,2.56,6,25,15.7,6.4,1.953,0.685,68.6,34.3,34.4,47.945,40.714,40.131,0.292,3.12,62.9,87.463556851312
"Aral",2002,1673,2.53,7,24.7,15.2,6.51,1.983,0.423,68.6,34.6,34.5,90.496,67.828,54.359,0.364,3.644,62.4,102.040816326531
"Aral",2003,1615,2.48,9,22.4,14.6,6.56,2.075,0.276,68.9,34.8,34.6,79.579,55.646,55.007,0.174,3.295,62.2,130.624092888244
"Aral",2004,1761,2.43,9,18.1,14,6.8,1.705,0.332,69.2,35.2,34.9,81.994,45.751,57.847,0.217,3.165,61.8,130.057803468208
"Aral",2005,1558,2.17,9,17.3,14.5,6.99,1.258,0.383,70.4,35.6,35.2,82.26,63.789,53.368,0.128,3.054,61.8,127.840909090909
"Aral",2006,1737,2.17,9,22.2,14.5,7.05,1.413,0.6,70.7,35.8,36.1,68.971,57.191,51.852,0.338,2.355,61.3,127.298444130127
"Aral",2007,1687,2.23,9,17.3,14.4,6.88,1.64,0.403,71,36.3,35.9,31.715,39.39,62.443,0.139,1.877,61.1,126.760563380282
"Aral",2008,2025,1.98,10,24.1,13.6,6.78,1.466,0.55,73.2,36.1,36.2,102.32,59.618,48.583,0.11,1.8,60.2,136.612021857923
"Aral",2009,1910,1.95,10,23.9,13.1,6.45,1.135,0.486,74.3,37.4,36.8,75.025,49.075,23.747,0.122,1.415,40.4,134.589502018843
"Aral",2010,1872,0.97,8,21.4,13.1,6.64,1.232,0.332,72.3,36.6,35.8,59.708,26.751,16.305,0.097,1.373,42.1,110.650069156293
"Aral",2011,1824,1.94,6,21.9,12.9,6.18,1.019,0.503,73.6,37.3,36.3,56.996,27.01,12.37,0.258,1.12,42.1,81.5217391304348
"Aral",2012,1746,2.15,3,6,12.8,5.41,1.311,0.281,74.7,37.9,36.8,65.593,26.636,13.325,0.187,1.159,42.1,40.1606425702811
"Aral",2013,1650,1.84,4,7.3,8.1,5.37,1.444,2.689,75.4,38.2,37.2,63.219,36.318,49.285,0.331,1.053,42,53.0503978779841
"Aral",2014,1695,1.71,4,8.3,10.1,4.83,1.439,0.46,76,32.8,32.3,115.843,61.223,50.462,0.263,0.954,0,52.6315789473684
"Aral",2015,1786,1.8,4,10.7,10.3,4.42,1.265,0.756,76.6,39.1,37.9,89.157,45.328,44.781,0.234,0.847,41.7,52.2193211488251
"Aral",2016,1720,2,3,7.6,9.9,3.81,1.201,0.886,77.4,35.4,42,56.85,42.091,43.958,0.347,0.666,0,38.7596899224806
"Aral",2017,1710,2.46,3,7,9.3,3.41,1.23,1.124,78.2,39.8,38.4,62.899,47.765,48.604,0.384,0.581,0,38.3631713554987
"Aral",2018,1755,2.08,3,8.7,8.7,3.42,1.537,1.137,79.2,40.3,38.8,57.877,39.912,32.735,0.316,0.669,0,37.8787878787879
"Karmakshy",2000,1029,2.15,7,21.7,13.9,5.54,1.956,0.198,45.5,23.4,22.6,50.242,27.099,27.67,0.044,3.78,55,153.846153846154
"Karmakshy",2001,946,2.33,7,19,13.2,5.54,1.572,0.371,45.8,23.4,22.6,37.991,26.9,23.275,0.087,3.1,54.8,152.838427947598
"Karmakshy",2002,840,2.25,7,21.4,13.2,5.52,1.761,0.391,46,23.5,22.7,67.957,29.674,28.239,0.065,2.326,54.3,152.173913043478
"Karmakshy",2003,949,2.14,7,18,12.2,5.98,2.148,1.649,46.1,23.8,23,116.486,43.97,27.093,0.651,2.95,54.5,151.843817787419
"Karmakshy",2004,978,2.08,6,20.9,11.8,6.11,2.301,0.516,46.5,24.3,23.5,39.376,44.452,28.731,0.151,2.903,54.7,129.032258064516
"Karmakshy",2005,873,2.04,6,16.6,11.6,6.51,2.208,0.333,48.1,24.5,23.9,38.283,43.812,25.917,0.436,1.683,54.7,124.740124740125
"Karmakshy",2006,1005,1.98,6,16.7,11.8,6.6,1.301,0.564,48.3,25.1,24.2,51.796,33.628,21.785,0.171,1.756,54.4,124.223602484472
"Karmakshy",2007,1027,1.97,6,19.6,11.4,6.4,2.054,1.077,49,24.9,24.4,41.633,19.993,19.83,0.244,1.546,0,122.448979591837
"Karmakshy",2008,937,1.89,6,25.7,11.7,5.79,1.959,1.146,50.1,26.1,24.8,21.745,19.514,24.599,0.121,1.558,0,119.760479041916
"Karmakshy",2009,877,1.89,6,16.5,10.5,5.72,1.443,0.909,50.6,25.5,24.8,22.774,20.954,25.502,0.119,1.232,0,118.577075098814
"Karmakshy",2010,1861,1.61,6,19.3,10.2,5.63,1.632,1.244,51.5,26.3,25.4,23.381,29.271,30.748,0.155,1.038,0,116.504854368932
"Karmakshy",2011,1754,1.68,3,19.4,10.6,4.51,0.595,1.074,52.1,26.5,25.5,23.857,34.424,23.109,0.211,0.775,0,57.5815738963532
"Karmakshy",2012,1901,1.78,3,7.9,9.4,4.45,1.461,0.911,52.7,26.9,25.8,35.541,32.391,20.019,0.133,0.703,0,56.9259962049336
"Karmakshy",2013,2012,1.8,5,3.5,8,3.93,0.28,1.681,53.5,27.2,26.2,43.78,21.049,25.625,0.168,0.867,0,93.4579439252336
"Karmakshy",2014,2025,1.7,5,7.9,8.3,3.92,1.174,0.538,53.8,25.8,25.5,44.043,23.173,21.576,0.428,0.654,0,92.9368029739777
"Karmakshy",2015,1957,1.77,5,12.1,8.1,3.9,2.263,1.131,53.9,27.5,26.4,42.532,27.211,18.66,0.39,0.667,0,92.7643784786642
"Karmakshy",2016,1835,1.81,5,14.2,7.9,3.05,1.664,1.641,54,26.5,27.5,25.006,6.414,22.097,0.407,0.631,0,92.5925925925926
"Karmakshy",2017,1792,1.99,6,10.6,8.9,3.22,2.377,1.289,54.1,27.7,26.4,32.27,35.786,29.895,0.607,0.557,0,110.90573012939
"Karmakshy",2018,1173,1.93,5,10.4,8.6,3.12,1.875,2.009,54.3,27.7,26.5,51.12,34.147,29.743,0.442,0.603,0,92.0810313075506
"Kazaly",2000,1621,2.16,7,20.5,14.4,6.47,1.422,0.595,68.9,35.1,34.5,165.689,69.579,65.08,1.234,2.583,59,101.596516690856
"Kazaly",2001,1582,2.27,7,25.3,14.1,6.71,1.255,0.548,69.3,35.4,34.6,143.319,78.514,52.973,0.664,2.583,58.7,101.010101010101
"Kazaly",2002,1557,2.23,7,21.2,14.5,6.82,1.533,0.444,69.8,35.5,34.9,213.668,100.63,48.883,0.602,2.55,58.6,100.286532951289
"Kazaly",2003,1462,2.18,9,18.2,14.1,6.93,1.795,0.37,70.2,35.6,35.1,237.194,95.926,47.678,0.47,2.293,58.2,128.205128205128
"Kazaly",2004,1574,2.11,10,11.5,13.2,7.1,1.631,0.539,70.5,35.9,35.3,216.085,94.241,46.624,0.397,2.014,58.1,141.843971631206
