"Region","year","births_count","doctors_per_capita","hosp_count","IMR_all","LOS","pc_beds","pc_cancer","pc_diabetes","pop","pop_m","pop_f","pc_digestive","pc_genitourinary","pc_injury","pc_respiratory","pc_TB","urban_percent","pc_hosp"
"Arys",2000,1462,1.91,6,17.1,12.8,3.92,2.113,1.0114,60.6,29.83,29.83,18.828,15.077,7.244,82.838,1.865,57.64,99.009900990099
"Arys",2001,1518,1.93,6,13.96,11.8,4.19,2.244,1.0435,61.6,30.5,30.7,23.068,34.903,21.705,88.019,1.932,57.95,97.4025974025974
"Arys",2002,1387,2.05,6,16.95,11.7,4.23,2.35,1.0505,61.7,30.4,31.22,43.063,43.484,23.047,118.654,1.572,58.25,97.2447325769854
"Arys",2003,1464,1.96,6,12.8,11.8,4.18,2.411,1.0676,61.8,30.8,31.31,30.566,38.203,15.13,130.631,2.443,58.4,97.0873786407767
"Arys",2004,1648,2,7,14.6,10.7,5.32,2.751,1.089,62.5,31.2,31.68,29.92,34.336,18.192,121.088,1.143,58.75,112
"Arys",2005,1524,1.9,7,9.8,10.6,4.18,2.912,1.098,63.3,33.3,30.7,31.106,39.48,18.057,124.692,1.144,59.1,110.584518167457
"Arys",2006,1855,1.95,7,18.5,9.8,5.22,1.958,1.046,64,31.9,31.3,31.172,50.344,32.187,94.001,1.07,59.2,109.375
"Arys",2007,1596,1.76,5,22.7,9.3,6.38,3.421,0.995,64.6,13.6,13.3,54.659,48.715,25.48,138.313,1.053,58.3,77.3993808049536
"Arys",2008,2199,1.882,7,25.9,9.2,4.78,3.634,0.984,65.5,32.8,33,66.427,72.87,27.069,111.053,1.685,58.7,106.870229007634
"Arys",2009,1996,1.75,7,14.4,9.1,4.87,3.74,0.82,65.9,32.9,33,65.96,52.327,29.774,137.642,1.16,38.8,106.221547799696
"Arys",2010,2098,2.32,7,16.6,9.1,4.73,3.183,0.737,63.8,32.1,32.4,65.549,49.467,20.799,157.994,0.893,38.6,109.717868338558
"Arys",2011,1619,2.56,5,18.3,9.8,4.46,3.855,0.777,66.4,33.4,32.7,69.577,79.514,19.279,185.94,0.925,38.4,75.3012048192771
"Arys",2012,2288,2.46,5,15.6,9.2,4.38,3.78,0.791,66.8,34.1,33.2,75.733,77.62,19.671,179.476,0.753,61.5,74.8502994011976
"Arys",2013,1259,2.55,5,17.9,8.9,4.18,4.233,0.794,67.8,37,35.6,75.324,77.124,20.177,178.584,0.838,61.3,73.7463126843658
"Arys",2014,2193,2.59,5,15.1,8.4,4.11,4.823,9.528,72.4,37.2,35.7,73.039,70.898,19.779,182.942,0.678,58.3,69.060773480663
"Arys",2015,2253,2.16,5,13.9,10,3.89,4.416,9.922,73.3,37.2,35.7,97.937,60.416,23.442,229.073,0.552,58.3,68.212824010914
"Arys",2016,2225,2.03,6,8.2,9.9,3.87,4.402,10.739,73.9,37.8,36.3,80.797,81.649,31.107,207.376,0.477,58.4,81.190798376184
"Arys",2017,2031,2.09,4,11.2,7.2,2.86,4.951,10.997,74.1,37.9,36.3,100.646,114.246,20.291,240.337,0.568,59.3,53.9811066126856
"Arys",2018,2097,1.94,2,7.5,7.5,3.34,5.145,13.532,74,38.1,36.1,64.392,79.76,12.587,78.842,0.446,59.8,27.027027027027
"Baydibek",2000,1208,1.37,9,19.4,13.1,5.13,1.843,0.323,51.3,25.7,25.7,19.746,20.058,7.339,66.569,1.637,0,175.438596491228
"Baydibek",2001,1195,1.26,10,19.45,11.9,5.13,2.007,0.3535,52,25.84,25.3,21.109,18.249,9.339,78.113,1.615,0,192.307692307692
"Baydibek",2002,1111,1.39,10,15.95,11.2,5.32,1.942,0.3368,52,26.1,25.6,22.173,21.73,9.961,76.153,1.5,0,192.307692307692
"Baydibek",2003,1229,1.35,10,13.1,11.2,5.25,2.168,0.3553,52.1,26.4,26,23.58,14.337,8.195,78.33,1.727,0,191.938579654511
"Baydibek",2004,1307,1.32,10,11.1,9.8,5.2,2.476,0.3695,52.8,26.76,26.41,32.632,21.307,15.985,68.617,1.145,0,189.393939393939
"Baydibek",2005,1247,1.32,10,7.8,10.1,5.25,2.5,0.388,53.5,23.3,25.3,22.093,20.47,10.635,81.87,1.603,NA,186.915887850467
"Baydibek",2006,1578,1.33,10,19.1,9.8,5.03,2.728,0.386,54.3,27.4,27.1,26.132,28.839,2.707,109.042,1.13,NA,184.162062615101
"Baydibek",2007,821,1.27,9,18.9,10.1,4.99,2.651,0.3785,54.9,27.8,27.3,20.71,18.761,3.005,83.953,1.257,NA,163.934426229508
"Baydibek",2008,1896,1.423,9,16.9,9.4,4.95,2.531,0.369,55.3,28,27.4,23.309,13.671,14.683,69.801,1.273,0,162.748643761302
"Baydibek",2009,1442,1.66,9,7.9,9,4.92,2.748,0.246,55.5,28,27.5,40.107,14.39,24.426,94.265,1.085,0,162.162162162162
"Baydibek",2010,1345,2.25,9,15.2,5.8,4.88,2.992,0.523,53.5,27.3,26.4,39.869,23.271,22.542,112.71,1.089,NA,168.224299065421
"Baydibek",2011,749,2.65,9,16.4,9.3,4.8,3.626,0.509,53.8,27.5,26.5,44.075,20.916,14.467,86.991,0.972,NA,167.28624535316
"Baydibek",2012,1341,2.48,9,13,9.3,5.34,2.825,0.519,54.1,27.6,26.4,46.839,21.959,14.898,89.926,0.781,NA,166.358595194085
"Baydibek",2013,537,2.5,9,13,11,5.1,3.149,0.515,54.3,27.9,26.8,47.053,22.081,15.23,90.479,0.795,NA,165.745856353591
"Baydibek",2014,1293,2.63,9,11.4,10.1,4.74,3.61,6.998,54.6,27.9,26.8,51.327,20.128,17.877,86.478,0.755,NA,164.835164835165
"Baydibek",2015,1276,2.2,9,12.8,10.1,4.63,4.616,7.138,55,27.9,26.7,59.621,25.658,9.613,108.684,0.549,NA,163.636363636364
"Baydibek",2016,1176,2.23,9,7.6,10,4.64,4.015,7.401,55.2,28.1,27,50.321,16.894,10.629,93.597,0.4,NA,163.04347826087
"Baydibek",2017,1106,2.16,8,5.2,7.8,3.68,4.48,7.727,54.6,27.9,26.7,73.702,24.167,6.572,109.598,0.398,NA,146.520146520147
"Baydibek",2018,1195,2.13,1,14.6,7.8,3.75,4.667,10.041,53.7,27.6,26.3,53.313,24.564,2.864,107.834,0.428,NA,18.6219739292365
"Kazygurt",2000,2302,1.36,8,21.3,9.8,2.96,1.606,0.726,90.1,44.8,44.8,13.685,10.688,11.387,51.324,0.921,0,88.7902330743618
"Kazygurt",2001,2495,1.33,8,20.42,9.5,2.91,1.675,0.766,92.2,45.4,45,14.929,12.05,4.547,61.058,0.894,0,86.7678958785249
"Kazygurt",2002,2246,1.47,8,25.18,9.6,3.47,1.896,0.7529,92.8,46.3,45.9,71.691,47.176,13.265,77.025,0.991,0,86.2068965517241
"Kazygurt",2003,2459,1.53,7,13.4,9.7,3.38,1.862,0.7941,93.4,47.4,47,19.957,22.42,14.453,83.222,0.953,0,74.9464668094218
"Kazygurt",2004,2697,1.59,8,16.1,9.1,3.41,2.098,0.7324,95.6,48.56,48.12,22.385,21.266,9.759,76.589,0.93,0,83.6820083682008
"Kazygurt",2005,2578,1.54,8,10.3,8.6,3.47,2.207,0.764,97.7,47.7,45,17.143,18.153,6.95,95.673,0.899,NA,81.8833162743091
"Kazygurt",2006,2909,1.56,8,16.4,8.8,3.27,2.112,0.741,99.8,50.6,50.1,26.583,21.022,15.06,78.527,0.6,NA,80.1603206412826
"Kazygurt",2007,2153,1.48,5,18.5,8.7,2.88,2.384,0.7412,101.6,51.4,51,30.6,31.083,10.394,95.896,0.807,NA,49.2125984251969
"Kazygurt",2008,3288,1.471,5,25.5,8.1,2.82,2.549,0.756,103.6,52.4,52,28.89,22.645,1.0087,102.616,0.709,0,48.2625482625483
"Kazygurt",2009,3149,1.47,6,11.2,7.7,2.8,2.345,0.712,104.5,52.5,52,32.716,22.953,9.601,131.585,0.792,0,57.4162679425837
"Kazygurt",2010,3132,1.67,6,12.9,6.7,2.84,2.526,0.672,102.7,52.1,51.5,38.033,26.573,9.873,135.764,0.83,NA,58.4225900681597
"Kazygurt",2011,2219,1.75,6,17.2,7.6,2.79,3.067,0.714,104.6,53.7,51.8,45.161,31.5,13.116,129.094,0.779,NA,57.3613766730402
"Kazygurt",2012,3273,1.85,6,18.8,7.6,2.58,3.269,0.731,106.1,54.4,52.2,44.637,30.54,14.015,129.877,0.65,NA,56.550424128181
"Kazygurt",2013,1896,1.92,6,13.5,6.6,2.37,3.563,0.736,107.2,55.4,53,44.394,30.485,14.468,129.533,0.584,NA,55.9701492537313
"Kazygurt",2014,3208,2,5,14.5,7,2.34,3.256,8.116,108.3,55.6,53.1,43.98,28.68,14.423,131.016,0.65,NA,46.1680517082179
"Kazygurt",2015,3148,1.78,5,12.8,7.01,2.32,3.186,8.356,108.9,55.7,53.1,41.264,51.447,14.122,169.345,0.379,NA,45.9136822773186
"Kazygurt",2016,3142,1.84,5,12.9,7.2,2.33,3.599,9.393,108.7,55.6,52.7,42.588,64.02,9.244,99.332,0.551,NA,45.9981600735971
"Kazygurt",2017,2954,1.79,5,4.9,7,2.35,3.742,9.971,107.5,55.2,52.7,43.001,51.783,6.65,140.118,0.552,NA,46.5116279069767
"Kazygurt",2018,2878,1.92,1,9.9,6.8,2.39,3.955,15.793,105.9,54.7,51.4,37.723,55.357,8.6,153.97,0.481,NA,9.44287063267233
"Kentau city",2000,1425,2.06,8,23.9,13.6,5.39,2.98,0.741,82.4,39.23,39.23,18.932,16.396,2.075,111.092,1.238,85.51,97.0873786407767
"Kentau city",2001,1433,2.16,8,19.87,11.8,5.62,3.361,0.71,82.2,38.75,40.3,19.903,36.84,1.852,80.799,1.138,85.25,97.323600973236
"Kentau city",2002,1340,2.27,8,17.34,11.6,5.86,3.201,0.7693,80.6,38.79,40.6,16.674,42.233,2.741,81.203,1.141,85.11,99.2555831265509
"Kentau city",2003,1547,2.18,8,16.4,11.8,5.77,3.225,0.7932,80,39.1,41.34,15.762,33.3,4.262,65.75,1.213,85.03,100
"Kentau city",2004,1683,2.33,8,13,11.2,5.95,3.35,0.757,81.4,39.88,42.54,17.95,32.653,4.459,83.599,1.093,85.07,98.2800982800983
"Kentau city",2005,1587,2.32,8,10.3,10.8,5.78,3.452,0.774,83,33,40.3,18.421,31.81,4.516,100.566,0.981,87.07,96.3855421686747
"Kentau city",2006,1918,2.33,8,14.7,11.2,5.97,4.409,0.773,84.1,40.5,44.1,26.29,16.896,14.387,84.852,0.88,87.1,95.1248513674198
"Kentau city",2007,2036,1.95,8,19.1,10.6,5.89,4.47,0.768,85.2,41,44.8,31.831,24.847,16.96,151.925,0.868,87,93.8967136150235
"Kentau city",2008,2306,1.94,7,18.6,10.4,5.89,4.683,0.77,86.5,41.6,45.6,24.358,26.959,7.653,139.584,0.887,85.6,80.9248554913295
"Kentau city",2009,2211,1.9,7,11.6,9.5,5.61,4.554,0.75,88,42,46,32.497,25.891,8.263,135.925,0.844,58.5,79.5454545454545
"Kentau city",2010,2433,2.23,7,8.9,8.4,5.37,4.608,0.489,83.8,40.3,44.3,43.699,22.303,7.983,131.313,0.844,58.2,83.5322195704057
"Kentau city",2011,2312,2.26,6,17.1,10.4,4.7,5.322,0.527,86.1,42.3,44.9,44.344,14.391,10.298,129.224,0.859,70.8,69.6864111498258
"Kentau city",2012,2506,2.26,2,17,9.6,4.36,4.123,0.557,88.3,43.3,46,43.205,14.383,10.985,138.448,0.836,71.2,22.6500566251416
"Kentau city",2013,1938,2.4,2,14.6,9.8,4.3,4.373,0.548,90.1,44.3,47,42.73,14.229,10.866,137.037,0.759,71,22.1975582685905
"Kentau city",2014,2412,2.5,2,11.4,9.8,4.11,4.229,11.942,91.6,44.9,47.5,58.155,12.314,11.07,133.221,0.721,71.2,21.8340611353712
"Kentau city",2015,2359,1.945,2,10.8,8.9,3.45,3.976,14.075,93.3,44.9,47.5,66.534,40.366,16.716,112.086,0.524,71.2,21.4362272240086
"Kentau city",2016,2063,1.9,2,8.7,7.8,3.15,3.632,13.841,94.6,46.2,48.9,46.483,23.759,21.372,156.278,0.514,71.2,21.1416490486258
"Kentau city",2017,2016,2.11,2,5.6,7.6,3.11,4.703,13.671,96.6,47,49.6,60.483,34.152,21.25,169.54,0.56,70.7,20.703933747412
"Kentau city",2018,4018,1.31,1,5.5,7.3,1.61,3.881,9.33,201.8,101.1,102,28.108,18.189,9.087,94.076,0.248,33.9,4.95540138751239
"Maktaaral",2000,6443,1.85,6,14.8,9.1,2.46,1.9,0.834,243.3,119.85,119.85,22.815,10.547,11.944,106.029,0.797,26.55,24.6609124537608
"Maktaaral",2001,6769,1.75,6,15.61,8.7,2.42,2.009,0.878,248,121.1,122.7,18.008,10.198,12.436,100.23,0.687,26.05,24.1935483870968
"Maktaaral",2002,6497,1.76,6,14.27,8.8,2.51,2.142,0.8038,249.3,123.6,125,40.525,19.137,11.793,90.308,1.027,25.66,24.0673886883273
"Maktaaral",2003,6914,1.71,6,12.2,8.3,2.73,1.941,0.8547,251.4,126.42,127.9,26.941,16.833,15.266,96.758,0.923,25.48,23.8663484486874
"Maktaaral",2004,7753,1.68,6,15.5,8,2.7,2.223,0.8858,257,129.2,130.58,28.805,21.973,13.984,94.031,0.948,25.22,23.3463035019455
"Maktaaral",2005,7635,1.62,6,10.8,7.8,2.52,2.346,0.893,261.7,161.7,122.7,36.16,22.78,14.202,120.855,1.015,26,22.927015666794
"Maktaaral",2006,7966,1.64,6,15.9,7.7,2.58,2.469,0.868,266,133.7,134.9,44.075,21.909,11.229,115.725,0.83,25.9,22.5563909774436
"Maktaaral",2007,7733,1.5,6,14.9,7.3,2.55,2.654,0.8925,270.5,135.8,136.6,38.654,23.076,11.534,112.111,0.906,26,22.181146025878
"Maktaaral",2008,8661,1.458,6,21.9,7.5,2.51,2.871,0.902,274.4,136.9,137.1,31.49,17.89,15.532,109.912,0.961,10.9,21.865889212828
"Maktaaral",2009,8583,1.51,6,13.7,7.3,2.64,2.926,2.491,276,138,138,48.521,21.899,19.596,115.158,0.725,28.5,21.7391304347826
"Maktaaral",2010,8940,1.52,6,11.7,5.5,2.5,3.078,1.447,289.5,145.8,145,34.173,21.447,20.339,113.807,0.682,35.7,20.7253886010363
"Maktaaral",2011,8413,1.56,6,15,8.1,2.46,3.243,1.506,293.1,148.1,146.4,44.09,22.774,16.366,94.642,0.636,11.2,20.4708290685773
"Maktaaral",2012,8876,1.59,4,14.8,7.8,2.28,3.21,1.531,295.4,149.6,146.6,44.265,22.485,16.249,97.691,0.597,10.6,13.54096140826
"Maktaaral",2013,8117,1.61,4,13.7,7.3,2.25,3.408,1.55,297.8,152.7,148.8,44.325,22.408,16.907,97.377,0.589,10,13.4318334452653
"Maktaaral",2014,9330,1.65,4,12.9,7,2.23,2.968,10.97,301.2,153.7,149.3,47.794,21.959,16.84,99.734,0.557,9.5,13.2802124833997
"Maktaaral",2015,9341,1.4,4,14.1,6.9,2.18,2.924,10.489,304.3,153.7,149.3,41.271,24.064,23.693,129.556,0.458,9.5,13.1449227735787
"Maktaaral",2016,8958,1.43,4,10.3,6.9,2.18,3.098,11.243,305.8,155.5,150.1,38.598,30.37,19.709,99.049,0.444,8.6,13.080444735121
"Maktaaral",2017,8410,1.63,4,5,6.7,2.21,3.206,11.76,304.7,155.3,149.4,36.654,28.501,16.313,117.846,0.51,8,13.1276665572694
"Maktaaral",2018,8498,1.89,4,11.2,6.4,2.22,3.377,17.615,303.2,155.4,148,36.361,32.243,16.263,126.019,0.429,8.1,13.1926121372032
"Ordabasy",2000,1930,1.14,5,21.3,12.4,3.67,1.802,0.741,82.4,40.88,40.88,22.439,8.666,12.439,36.614,1.408,0,60.6796116504854
"Ordabasy",2001,1922,1.18,5,19.45,12.6,3.83,1.759,0.774,83.5,41,40.3,21.252,7.725,10.542,30.505,1.095,0,59.8802395209581
"Ordabasy",2002,1804,1.41,5,17.49,12,3.91,2.099,0.734,82.9,41.3,40.5,35.367,21.23,12.641,43.437,1.616,0,60.313630880579
"Ordabasy",2003,1940,1.4,5,13.9,10.8,3.84,2.715,0.7897,82.5,42.23,41,31.987,12.327,11.818,50.751,1.297,0,60.6060606060606
"Ordabasy",2004,2136,1.5,5,14.5,10.3,3.75,2.715,0.7457,84.3,43.28,42,34.555,14.816,10.937,62.479,1.248,0,59.3119810201661
"Ordabasy",2005,2112,1.49,5,8.8,10.3,4,3.274,0.753,87.2,47.2,40.3,39.98,14.61,15.011,72.56,1.128,NA,57.3394495412844
"Ordabasy",2006,2443,1.5,5,17.5,10.8,3.44,3.474,0.714,91,46.9,45.9,42.571,29.648,6.67,56.538,0.96,NA,54.9450549450549
"Ordabasy",2007,1404,1.43,4,24.3,10.7,3.31,3.285,0.7526,94.8,48.7,47.9,32.785,21.888,11.445,66.086,0.939,NA,42.1940928270042
"Ordabasy",2008,2982,1.413,4,26.8,9.8,3.2,2.67,0.784,98.2,50.3,48.4,40.662,28.941,17.851,79.379,1.035,0,40.7331975560081
"Ordabasy",2009,2964,1.54,4,7.1,10,3.16,3.024,1.03,100,50,50,42.453,27.992,22.878,89.03,0.937,0,40
"Ordabasy",2010,3202,1.67,4,8.5,6.4,2.79,3.254,2.314,106.3,54.3,53.3,28.325,17.422,10.79,85.24,0.89,NA,37.6293508936971
"Ordabasy",2011,2694,1.67,3,20,9,2.25,3.273,2.273,109.4,56.1,54.8,43.885,31.054,10.903,80.96,0.771,NA,27.4223034734918
"Ordabasy",2012,3741,1.63,3,16.6,9.6,2.19,3.391,2.328,112.6,57.7,56.4,43.446,29.84,14.121,77.46,0.74,NA,26.6429840142096
"Ordabasy",2013,2400,1.73,3,11.6,7.1,2.14,3.628,2.326,115.5,59.5,58.1,42.606,29.299,14.606,75.853,0.746,NA,25.974025974026
"Ordabasy",2014,3764,1.79,3,11.8,7.2,2.07,3.394,16.354,116.4,60.1,58.6,43.992,26.587,14.461,87.505,0.606,NA,25.7731958762887
"Ordabasy",2015,3863,1.58,2,14.5,9,2.02,3.235,18.342,116.8,58.8,57.3,39.969,54.861,15.791,70.3526,0.567,NA,17.1232876712329
"Ordabasy",2016,3763,1.57,2,10.3,6.4,2.03,3.56,8.7,117.5,59.6,57.8,32.311,44.791,23.455,76.77,0.676,NA,17.0212765957447
"Ordabasy",2017,3527,1.77,2,2.1,6.4,2.04,3.773,9.457,118.9,60.4,58.5,52.193,26.638,20.171,73.535,0.51,NA,16.820857863751
"Ordabasy",2018,3253,1.67,1,5.9,7.3,2.05,3.973,14.048,118.8,60.6,58.3,38.087,32.119,16.775,91.551,0.421,NA,8.41750841750842
"Otyrar",2000,1138,1.09,9,17.9,12.9,5.35,1.853,0.2036,54.8,27.42,27.42,8.394,8.485,7.226,39.379,1.277,0,164.233576642336
"Otyrar",2001,1190,1.23,9,28.59,12.3,5.34,2.116,0.272,55.4,27.48,26.9,10.856,9.016,6.685,33.206,1.293,0,162.454873646209
"Otyrar",2002,1203,1.37,9,19.66,12.2,5.67,2.138,0.2238,55.2,27.6,27.1,54.637,73.097,8.822,48.079,1.522,0,163.04347826087
