"Region","year","births_count","doctors_per_capita","hosp_count","IMR_all","LOS","pc_beds","pc_cancer","pc_diabetes","pop","pop_m","pop_f","pc_digestive","pc_genitourinary","pc_injury","pc_respiratory","pc_TB","urban_percent","pc_hosp"
"Otyrar",2003,1178,1.34,9,16,11.5,5.62,2.036,0.238,55,27.83,27.36,34.981,48.218,12.6,47.781,1.436,0,163.636363636364
"Otyrar",2004,1281,1.42,9,14.4,10.3,5.56,2.545,0.2215,55.4,28.1,27.55,19.91,28.935,13.231,60.162,1.304,0,162.454873646209
"Otyrar",2005,1187,1.4,9,10.3,10.3,5.64,2.418,0.223,55.8,25.8,26.9,29.731,27.992,9.68,76.595,1.087,NA,161.290322580645
"Otyrar",2006,1518,1.43,9,22.5,10.1,5.51,2.956,0.285,56.2,28.5,27.8,22.971,31.53,9.502,49.644,0.99,NA,160.142348754448
"Otyrar",2007,1265,1.26,6,17.1,9.7,4.84,3.469,0.2312,56.6,28.7,28.1,24.647,23.198,7.261,58.41,0.902,NA,106.007067137809
"Otyrar",2008,1420,1.2,6,33.1,9.1,4.8,2.833,0.251,57.1,28.9,28.3,25.902,19.124,9.352,40.963,1.027,0,105.07880910683
"Otyrar",2009,1429,1.57,8,8.4,9,5.12,3.764,0.642,57.5,29,28.5,39.722,27.916,7.795,71.788,0.893,0,139.130434782609
"Otyrar",2010,1426,1.82,8,16.9,8.6,5.43,3.854,0.185,53.9,27.5,26.8,42.931,30.445,6.79,69.462,0.848,NA,148.423005565863
"Otyrar",2011,976,1.94,8,16,10.9,5.66,4.489,0.212,55,28.2,27.4,35.25,30.705,5.603,77.996,0.872,NA,145.454545454545
"Otyrar",2012,1477,1.92,8,18,10.2,5.47,4.254,0.237,56,28.5,27.7,35.482,30.482,6.428,76.875,0.836,NA,142.857142857143
"Otyrar",2013,853,2.02,8,13.5,10.2,5.1,4.566,0.229,56.5,27.3,26.6,35.434,30.442,6.956,76.796,0.804,NA,141.592920353982
"Otyrar",2014,1414,2.25,6,12,10,4.53,3.451,4.087,53.7,27.3,26.7,40.093,32.205,7.46,83.293,0.549,NA,111.731843575419
"Otyrar",2015,1247,2,6,8.1,6.9,4.29,3.266,4.159,54.1,27.4,26.7,29.95,22.181,4.687,58.8669,0.484,NA,110.90573012939
"Otyrar",2016,1204,2.05,6,8.9,9.1,4.12,3.709,8.769,54.4,27.6,26.9,27.94,34.571,6.503,51.637,0.277,NA,110.294117647059
"Otyrar",2017,1053,2.13,5,6.3,7.3,3.39,3.444,9.23,54.6,27.7,26.8,30.394,35.743,5.678,74.894,0.496,NA,91.5750915750916
"Otyrar",2018,1165,2.12,1,9.4,7.3,3.44,3.881,16.621,53.8,27.4,26.4,33.353,43.269,5.293,110.568,0.464,NA,18.5873605947955
"Saryagash",2000,5761,1.41,8,15.1,11.4,3.43,1.061,0.8236,217.8,107,107,30.555,19.128,13.448,116.147,0.914,12.49,36.7309458218549
"Saryagash",2001,5823,1.51,14,19.78,10.4,3.64,1.179,0.861,222.1,107.53,107.3,28.732,23.908,21.006,135.437,0.939,12.18,63.0346690679874
"Saryagash",2002,5772,1.65,14,15.04,10.2,3.69,1.473,0.8439,222.6,110.4,110.6,38.297,34.398,11.828,14,0.912,12.2,62.8930817610063
"Saryagash",2003,6152,1.58,16,13.9,10,4.09,1.67,0.8498,223.9,113.23,113.4,34.104,38.217,22,159.03,0.933,10.27,71.4604734256364
"Saryagash",2004,7322,1.68,16,13.3,9.7,4.1,2.032,0.8534,229.7,116.15,116.38,52.373,53.7,29.961,16.53,1.286,11.91,69.6560731388768
"Saryagash",2005,7284,1.62,16,11.9,9.4,4.12,2.115,0.88,235.5,117.2,107.3,66.356,43.893,23.125,194.44,0.775,11.91,67.9405520169851
"Saryagash",2006,7615,1.67,16,14.3,9.1,3.83,2.917,0.857,242.7,122.9,124.9,49.67,48.496,19.765,214.899,0.69,11.8,65.9250103007829
"Saryagash",2007,7066,1.52,12,19.3,8.9,3.49,2.501,0.8625,250.2,126.7,127.3,56.443,42.654,28.325,201.583,0.624,11.9,47.9616306954436
"Saryagash",2008,9194,1.47,13,20,7.9,3.35,2.693,0.873,257.6,127.6,129,60.31,49.429,14.883,203.47,0.587,11.5,50.4658385093168
"Saryagash",2009,8886,1.5,14,10.7,7.7,3.31,2.628,2.182,260.5,130,130.5,69.723,50.231,17.636,232.42,0.493,29,53.742802303263
"Saryagash",2010,9400,1.64,14,12.9,6.7,3.04,2.765,0.347,282.5,143.2,143.3,59.667,37.182,17.607,204.743,0.471,39.3,49.5575221238938
"Saryagash",2011,8261,1.64,14,18,7.9,2.75,2.93,0.373,291.6,148.7,147.2,59.416,32.081,15.77,170.736,0.414,13.7,48.0109739368999
"Saryagash",2012,10064,1.7,13,14.8,7.8,2.76,2.59,0.391,299.4,152.3,150.6,54.946,30.357,16.339,163.093,0.408,13.4,43.4201736806947
"Saryagash",2013,7993,1.7,13,13.9,7.6,2.72,3.087,0.404,306.1,157.2,155,54.25,29.817,15.505,160.464,0.387,13,42.4697811172819
"Saryagash",2014,10868,1.66,13,11.7,7.4,2.59,2.525,9.164,312.4,159,156.6,56.383,29.257,15.336,165.819,0.366,12.5,41.6133162612036
"Saryagash",2015,10579,1.41,13,11.9,7.5,2.51,2.631,8.716,318.8,159,156.7,58.388,44.305,15.29,161.645,0.343,12.5,40.7779171894605
"Saryagash",2016,9714,1.41,14,11.1,7.2,2.43,2.747,9.784,323.1,163.5,160.7,46.919,36.487,16.996,169.039,0.276,12,43.3302383163107
"Saryagash",2017,9210,1.53,12,4.5,7,2.41,2.872,9.759,326.9,165,161.9,39.866,38.465,10.543,164.052,0.499,11.6,36.7084735393087
"Saryagash",2018,9623,1.7,3,8.4,6.9,2.51,3.117,13.387,327.2,166.5,161.9,33.149,23.905,5.164,87.473,0.385,10.4,9.16870415647922
"Sayram",2000,5431,1.51,7,20.1,9.3,2.54,2.531,0.994,224,109.13,109.13,19.174,15.531,15.531,88.343,0.857,0,31.25
"Sayram",2001,5521,1.64,7,23.63,9.2,2.49,2.495,1.118,229,109.4,109.6,13.338,17.646,11.505,77.384,0.77,0,30.5676855895197
"Sayram",2002,5849,1.6,7,18.14,9.1,3.28,2.646,0.9079,227.9,111.9,112.25,23.44,18.345,8.802,67.169,0.715,0,30.7152259763054
"Sayram",2003,6115,1.58,7,13.8,9,3.31,2.911,0.9919,227,114.8,114.9,13.872,15.23,7.696,85.881,0.775,0,30.8370044052863
"Sayram",2004,6779,1.58,7,14.8,8.5,3.21,3.321,0.968,233,118.4,118.54,12.81,16.275,8.071,85.096,0.814,0,30.0429184549356
"Sayram",2005,6658,1.56,7,9.6,8.5,3.4,3.416,0.935,240,140,109.6,14.345,17.36,8.45,106.583,0.945,NA,29.1666666666667
"Sayram",2006,6989,1.59,7,16.3,8.1,3.04,3.516,0.965,246.5,124.9,124.9,13.732,18.45,5.809,77.611,0.54,NA,28.3975659229209
"Sayram",2007,5331,1.53,7,20.9,7.8,3.1,3.634,0.978,254.1,124.7,124.4,14.892,17.906,5.659,87.568,0.633,NA,27.5482093663912
"Sayram",2008,9134,1.56,7,25.6,7.6,2.96,3.888,0.981,252.8,125.5,125.3,19.046,19.039,11.155,115.89,0.645,0,27.6898734177215
"Sayram",2009,9057,1.62,7,8.5,7.7,2.92,3.84,3.112,256.5,128.5,128,18.665,21.588,14.807,121.907,0.506,0,27.2904483430799
"Sayram",2010,8948,1.59,7,9.3,5.6,2.49,4.165,0.539,291.2,147.7,147.5,18.297,18.328,10.687,98.953,0.483,NA,24.0384615384615
"Sayram",2011,5197,1.68,8,12.7,8.4,2.72,3.832,0.622,299.3,151.6,151.1,14.756,17.047,11.745,88.001,0.412,NA,26.7290344136318
"Sayram",2012,9814,1.74,7,14.6,9.1,2.65,3.585,0.641,306.9,155.6,155.3,14.832,16.083,12.62,87.211,0.378,NA,22.8087324861518
"Sayram",2013,6013,1.79,7,11,8.5,2.53,3.736,0.646,315.3,160,159.1,14.538,15.75,12.315,85.668,0.355,NA,22.2010783380907
"Sayram",2014,6259,2.14,5,7.5,8.2,3.22,4.814,8.43,257.5,160.8,159.6,16.179,13.849,14.14,74.555,0.222,NA,19.4174757281553
"Sayram",2015,6196,2.06,5,8.7,8,3.08,3.793,10.297,197.2,160.9,159.6,24.705,15.121,7.008,108.873,0.179,NA,25.3549695740365
"Sayram",2016,6238,2.06,6,7.6,7.6,2.92,4.244,13.231,200.9,102.1,100.6,30.523,47.39,16.011,121.38,0.294,NA,29.8656047784968
"Sayram",2017,5953,2.13,4,2.8,7.2,2.68,4.263,13.628,206.3,104,102.3,45.037,56.172,20.579,134.245,0.239,NA,19.3892389723703
