"Region","year","births_count","doctors_per_capita","IMR_all","LOS","pc_beds","pc_cancer","pc_diabetes","pc_digestive","pc_genitourinary","pc_injury","pc_TB","pop","pop_m","pop_f","urban_percent","hosp_count","pc_hosp"
"Andijan",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1771.9,875.7,896.2,NA,95,53.6147638128563
"Andijan",1991,NA,NA,NA,NA,12.259774685222,0.50916721890877,0.328584051248067,89.9602385685885,15.9597967749061,NA,NA,1810.8,896.7,914.1,NA,101,55.7764523967307
"Andijan",1992,NA,NA,NA,15.1,11.0043480594772,0.520156744860164,0.142251328573729,110.956036287509,16.5333619625315,NA,NA,1862.9,923.4,939.5,NA,98,52.606151698964
"Andijan",1993,NA,NA,NA,14.5,9.58632906116495,0.625195373554236,0.219339376888611,89.8197353339585,15.0046889653017,NA,NA,1919.4,952,967.4,NA,99,51.5786183182244
"Andijan",1994,NA,NA,NA,14.9,8.84955752212389,0.612348692910182,1.33811412877632,96.2770826975893,17.6991150442478,30.820872749466,NA,1966.2,976.1,990.1,NA,99,50.3509307293256
"Andijan",1995,NA,NA,NA,14.5,8.35571471202626,0.642096886501542,0.352631055406346,70.6256838754601,15.7167014821446,19.8448224410624,NA,2010.6,999,1011.6,NA,99,49.2390331244405
"Andijan",1996,NA,NA,NA,14.8,8.02841572596341,0.710879719735306,0.227715064227326,57.658622031919,17.7598287271312,19.6087971973531,NA,2055.2,1022,1033.2,NA,100,48.6570650058389
"Andijan",1997,NA,NA,NA,14.1,7.30136005726557,0.726795514197089,0.303507516105941,56.2157003101885,20.5678835600095,19.4225721784777,NA,2095.5,1042.8,1052.7,NA,79,37.6998329754235
"Andijan",1998,NA,NA,NA,13.4,6.65635400553134,0.741105329770778,0.327661369708902,53.3445835091173,22.2659729058267,18.5627900435944,NA,2133.3,1062.5,1070.8,NA,78,36.563071297989
"Andijan",1999,NA,NA,NA,12.6,6.5928999538958,0.73351775011526,0.2706316274781,59.5205163669894,25.2650991240203,29.1839557399723,NA,2169,1081,1088,NA,79,36.4223144306132
"Andijan",2000,43897,NA,15.5363692279655,12.5,6.35987825375914,0.726388951982919,0.267114886657884,62.5539453959024,26.4843501567256,32.4808067959842,0.701857993004134,2201.3,1097.8,1103.5,NA,81,36.7964384681779
"Andijan",2001,43973,NA,15.1001751074523,11.9,6.22759856630824,0.736111111111111,0.234318996415771,65.6810035842294,26.8817204301075,31.0483870967742,0.769713261648746,2232,1113.9,1118.1,NA,84,37.6344086021505
"Andijan",2002,46019,3.02,13.3857754405789,11.6,6.22929092113983,0.679478683454827,0.195272807598851,63.8391870996245,25.4914954716148,31.7649657609896,0.828363154406892,2263.5,1130.2,1133.3,NA,86,37.9942566821294
"Andijan",2003,43034,2.99,14.0586512989729,11.8,6.10181311018131,0.741370292887029,0.278068340306834,62.1949093444909,25.9327057182706,31.8165969316597,0.740062761506276,2294.4,1146.2,1148.2,NA,86,37.4825662482566
"Andijan",2004,46755,2.77,13.7097636616405,10.9,6.06216948278086,0.739068747581581,0.324605529042521,63.3303237456468,27.1722773979965,30.5258179629391,0.791521561546068,2325.9,1162.5,1163.4,NA,87,37.4048755320521
"Andijan",2005,47522,2.6,12.2680021884601,10.4,5.8491925571144,0.735387614970542,0.26745221040139,64.7225872080702,28.9068791590726,30.2632136650701,0.712499470181834,2359.3,1179.7,1179.6,NA,96,40.6900351799262
"Andijan",2006,48298,2.6,12.0294836225102,9.5,5.8924317773413,0.725897446612896,0.58088511847549,64.0645242174767,26.2860963684233,33.097914664215,0.627690250323875,2392.9,1196.9,1196,NA,96,40.1186844414727
"Andijan",2007,55070,2.6,12.347920828037,8.9,5.4309812795721,0.733593910717959,0.470273606253857,60.5636700267435,24.562847150792,33.0796132483028,0.617156963587739,2430.5,1216,1214.5,NA,98,40.3209216210656
"Andijan",2008,62043,2.6,10.6216656190062,8.4,5.17067259139568,0.724298121591598,0.352252070288831,60.0282771157342,24.0759442536861,35.0636235104019,0.561906685518077,2475.5,1239,1236.5,NA,86,34.7404564734397
"Andijan",2009,62013,2.5,10.3849192911164,8.1,5.3475935828877,0.690037631214102,0.325212913448208,58.8235294117647,24.1235888294712,32.7985739750446,0.621509209744504,2524.5,1264.1,1260.4,NA,89,35.2545058427411
"Andijan",2010,59953,2.5,9.44072857071373,6.1,5.09441912130846,0.713218676983185,0.424024208066802,58.6815796529666,23.5952043513234,31.7156318228828,0.586815796529666,2610.7,1311.2,1299.5,NA,92,35.2395909143142
"Andijan",2011,56662,2.5,9.28311743320038,8.1,4.90123273429378,0.668721223822962,0.419203920986187,56.809743056587,22.7238972226348,32.7491459973266,0.548789544036834,2693.2,1356.6,1336.6,0.527290954997772,107,39.7296895885935
"Andijan",2012,58277,2.45,11.8228460627692,7.8,4.93547325704676,0.674149087851424,0.444558183745841,63.6127664241582,27.7117683617885,32.976273169305,0.518041896684093,2735.3,1378.4,1356.9,0.525170913610938,123,44.9676452308705
